Tweet_ID,Tweet_Date,Media_Name,Media_Origin,Teaser_Tokens,Tag_Value
1302968016477589504,07-09-2020,El País,Uruguay,segundadivisión fortaleza ataque Rampla Juniors terminar invicto Rocha,No
1296805148950515713,21-08-2020,El País,Uruguay,Jorge Lanata argentino ir Uruguay Irse ser manera fracasar,No
1303065732884967426,07-09-2020,El País,Uruguay,Raffo montevideano deber estar alerta error más grueso costoso Cosse,No
1302462441520074757,06-09-2020,El País,Uruguay,eco universo joven uruguayo desentraña explicar secreto onda gravitacional,Clickbait
1301763104435589120,04-09-2020,El País,Uruguay,propuesta quinquenal ANEP aumento presupuesto meta aprendizaje innovación propuesta ANEP ser primero vez historia ente autónomo fijar meta aprendizaje,No
1300571357714018304,31-08-2020,El País,Uruguay,Diego Forlán salida Peñarol no quedar reproche así ser fútbol,No
1300770685577555968,01-09-2020,El País,Uruguay,Felipe Carballo Armando Méndez ganar titularidad Nacional,No
1276187700618551305,25-06-2020,El País,Uruguay,Reseña nuevo temporada The Sinner ser tendencia Netflix puro ansiedad,No
1300163947308503042,30-08-2020,El País,Uruguay,Boston River salir fondo volver ganar respirar descenso vencer Progreso,No
1297586498863235072,23-08-2020,El País,Uruguay,Rentistas salvar diez mes tres minuto frente Peñarol,Clickbait
1298708074161557506,26-08-2020,El País,Uruguay,Lionel Messi dar paso seguir carrera Manchester City Lionel Messi confirmar decisión querer ir Manchester City Pep Guardiola,No
1293982645110681600,13-08-2020,El País,Uruguay,Inter Miami equipo dirigir Tornado Diego Alonso sumar campeón mundo,Clickbait
1297028854192771072,22-08-2020,El País,Uruguay,Lukashenko vez más aislado endurecer represión Unión Europea no reconocer resultado elección fraude anunciar sanción régimen Bielorrusia,No
1286349298813280258,23-07-2020,El País,Uruguay,Eliminatorias Almada Repetto estar candidato dirigir Ecuador,No
1285765707196760064,22-07-2020,El País,Uruguay,FútbolUruguayo River Plate renovó concesión Saroldi bautizar tribuna,No
1304042795326476290,10-09-2020,infobae,Argentina,Profepa continuar investigar tigre Antara inspeccionar domicilio ser resguardar,No
1301034000765521920,02-09-2020,infobae,Argentina,Liga MX Nahuel Guzmán dar positivo quinto ocasión tomar humor,Clickbait
1299222942136455168,28-08-2020,infobae,Argentina,dólares sospechoso movimiento vigilar Banco Central limitar infracción compra USD mensual,Clickbait
1300914734615715845,01-09-2020,Clarín,Argentina,Facebook amenazar bloquear opción compartir noticia Australia poder ser precedente parte mundo,No
1289280302901129217,31-07-2020,infobae,Argentina,Microsoft estar negociar compra Tik Tok sospechado tener vínculo régimen chino,No
1292153739579551744,08-08-2020,infobae,Argentina,Gobierno hacer lobby Washington contratar asesoramiento político casi dos millón dólares,No
1293126787594035200,11-08-2020,infobae,Argentina,esposa oficial preso contestar Alex Saab quejar dos día incomunicado Dirección Inteligencia tener día esposo secuestrado,No
1292175884858753024,08-08-2020,infobae,Argentina,delantera Tigres Femenil Katty Martínez dar positivo coronavirus día arranque torneo,No
1290812652474646528,05-08-2020,infobae,Argentina,Alberto Fernández respaldar plan nuevo Consejo Agroindustrial foco aumento exportación generación empleo,No
1305504718521851906,14-09-2020,Clarín,Argentina,tacc necesitar saber comida celíaco,Clickbait
1302281752069763074,05-09-2020,infobae,Argentina,pese anuncio Lionel Messi Luis Suárez alejar Barcelona jugar Juventus ganar temporada,Clickbait
1286665572499906561,24-07-2020,infobae,Argentina,Miguel Ángel Pichetto haber expresión figura secundario debilitir autoridad Presidente,No
1301723424990154752,04-09-2020,infobae,Argentina,Ronald Koeman elegir ser nuevo capitán Barcelona Messi decidir club,Clickbait
1301196069271826433,02-09-2020,infobae,Argentina,foto Nicole Poturalski restaurante esposo conocer Bran Pitt,Clickbait
1285071825483911168,20-07-2020,infobae,Argentina,Deuda Gobierno fijar estrategia cerrar bonista Wall Street luego negociar FMI Club París,No
1293365345374396417,12-08-2020,infobae,Argentina,fallido nuevo refuerzo Leeds anticipar destino Marcelo Bielsa,Clickbait
1281093614521606144,09-07-2020,infobae,Argentina,Garantizan no faltar billete fin semana largo haber tensión BCRA banco,No
1300956912096284678,02-09-2020,infobae,Argentina,salir luz viejo interno vestuario PSG Unai Emery tener problema manejar estrella,Clickbait
1299895101087506432,30-08-2020,infobae,Argentina,crisis venir Herrera anticipar más recorte presupuesto aumento deuda,No
