Tweet_ID,Tweet_Date,Media_Name,Media_Origin,Teaser_Tokens,Tag_Value
1302968016477589504,07-09-2020,El País,Uruguay,segundadivisión el fortaleza del ataque Rampla Juniors terminar con el invicto de Rocha,No
1296805148950515713,21-08-2020,El País,Uruguay,Jorge Lanata a el argentino que él ir a Uruguay Irse ser uno manera de fracasar,No
1303065732884967426,07-09-2020,El País,Uruguay,Raffo el montevideano deber estar alerta por error más grueso y costoso de Cosse,No
1302462441520074757,06-09-2020,El País,Uruguay,eco del universo joven uruguayo desentraña y explicar el secreto de el onda gravitacional,Clickbait
1301763104435589120,04-09-2020,El País,Uruguay,propuesta quinquenal de ANEP aumento de del presupuesto y meta de aprendizaje uno de el innovación de el propuesta de el ANEP ser que por primero vez en el historia el ente autónomo fijar meta de aprendizaje,No
1300571357714018304,31-08-2020,El País,Uruguay,Diego Forlán tras su salida de Peñarol no yo quedar reproche así ser el fútbol,No
1300770685577555968,01-09-2020,El País,Uruguay,Felipe Carballo y Armando Méndez él ganar el titularidad en Nacional,No
1276187700618551305,25-06-2020,El País,Uruguay,Reseña el nuevo temporada de The Sinner ser tendencia en Netflix a puro ansiedad,No
1300163947308503042,30-08-2020,El País,Uruguay,Boston River salir del fondo volver a ganar y respirar en el descenso tras vencer a Progreso,No
1297586498863235072,23-08-2020,El País,Uruguay,Rentistas salvar diez mes en tres minuto frente a Peñarol,Clickbait
1298708074161557506,26-08-2020,El País,Uruguay,Lionel Messi dar paso para seguir su carrera en Manchester City Lionel Messi confirmar su decisión querer ir al Manchester City de Pep Guardiola,No
1293982645110681600,13-08-2020,El País,Uruguay,Inter Miami el equipo que dirigir el Tornado Diego Alonso sumar a uno campeón del mundo,Clickbait
1297028854192771072,22-08-2020,El País,Uruguay,Lukashenko cada vez más aislado endurecer represión el Unión Europea no reconocer el resultado de el elección por fraude y anunciar sanción al régimen de Bielorrusia,No
1286349298813280258,23-07-2020,El País,Uruguay,Eliminatorias Almada y Repetto estar entre el candidato para dirigir a Ecuador,No
1285765707196760064,22-07-2020,El País,Uruguay,FútbolUruguayo River Plate renovó el concesión del Saroldi y bautizar a su tribuna,No
1304042795326476290,10-09-2020,infobae,Argentina,Profepa continuar investigar al tigre de Antara inspeccionar el domicilio en el que ser resguardar,No
1301034000765521920,02-09-2020,infobae,Argentina,Liga MX Nahuel Guzmán dar positivo de por quinto ocasión pero él él tomar con humor,Clickbait
1299222942136455168,28-08-2020,infobae,Argentina,dólares sospechoso qué movimiento vigilar el Banco Central para limitar infracción en el compra de el USD mensual,Clickbait
1300914734615715845,01-09-2020,Clarín,Argentina,Facebook amenazar con bloquear el opción de compartir noticia en Australia poder ser uno precedente para otro parte del mundo,No
1289280302901129217,31-07-2020,infobae,Argentina,Microsoft estar negociar el compra de Tik Tok sospechado de tener vínculo con el régimen chino,No
1292153739579551744,08-08-2020,infobae,Argentina,el Gobierno hacer lobby en Washington contratar asesoramiento político por casi dos millón de dólares,No
1293126787594035200,11-08-2020,infobae,Argentina,el esposa de uno oficial preso él contestar a Alex Saab usted él quejar por dos día incomunicado el Dirección de Inteligencia tener día a mi esposo secuestrado,No
1292175884858753024,08-08-2020,infobae,Argentina,el delantera de Tigres Femenil Katty Martínez dar positivo a coronavirus a día del arranque del torneo,No
1290812652474646528,05-08-2020,infobae,Argentina,Alberto Fernández respaldar al plan del nuevo Consejo Agroindustrial con foco en el aumento de el exportación y el generación de empleo,No
1305504718521851906,14-09-2020,Clarín,Argentina,sin tacc todo él que necesitar saber sobre el comida para celíaco,Clickbait
1302281752069763074,05-09-2020,infobae,Argentina,pese al anuncio de Lionel Messi Luis Suárez él alejar de Barcelona para jugar en Juventus cuánto ganar por temporada,Clickbait
1286665572499906561,24-07-2020,infobae,Argentina,Miguel Ángel Pichetto haber expresión de figura secundario que debilitir el autoridad del Presidente,No
1301723424990154752,04-09-2020,infobae,Argentina,Ronald Koeman elegir al que ser el nuevo capitán del Barcelona si Messi decidir del club,Clickbait
1301196069271826433,02-09-2020,infobae,Argentina,el foto de Nicole Poturalski en el restaurante de su esposo donde conocer a Bran Pitt,Clickbait
1285071825483911168,20-07-2020,infobae,Argentina,Deuda el Gobierno fijar como estrategia cerrar con el bonista de Wall Street y luego negociar con el FMI y el Club de París,No
1293365345374396417,12-08-2020,infobae,Argentina,el fallido del nuevo refuerzo del Leeds que anticipar el destino de Marcelo Bielsa,Clickbait
1281093614521606144,09-07-2020,infobae,Argentina,Garantizan que no faltar billete en el fin de semana largo pero haber cierto tensión entre el BCRA y el banco,No
1300956912096284678,02-09-2020,infobae,Argentina,salir a el luz viejo interno del vestuario del PSG Unai Emery tener problema para manejar a el estrella,Clickbait
1299895101087506432,30-08-2020,infobae,Argentina,el crisis que venir Herrera anticipar más recorte al presupuesto y aumento en el deuda,No
